Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Bell Book and Candle,106,"Comedy, Fantasy, Romance",6.9,Approved,Richard Quine,"James Stewart, Kim Novak, Jack Lemmon, Ernie Kovacs",11018,1958,0.0,Comedy
Beyond a Reasonable Doubt,80,"Crime, Drama, Film-Noir",6.9,Not Rated,Fritz Lang,"Dana Andrews, Joan Fontaine, Sidney Blackmer, Arthur Franz",5267,1956,0.0,Crime
How to Marry a Millionaire,95,"Comedy, Drama, Romance",6.9,Not Rated,Jean Negulesco,"Marilyn Monroe, Betty Grable, Lauren Bacall, David Wayne",22044,1953,0.0,Comedy
The Blue Gardenia,90,"Crime, Drama, Film-Noir",6.9,Not Rated,Fritz Lang,"Anne Baxter, Richard Conte, Ann Sothern, Raymond Burr",5266,1953,0.0,Crime
Don't Bother to Knock,76,"Drama, Film-Noir, Mystery",6.9,Passed,Roy Ward Baker,"Richard Widmark, Marilyn Monroe, Anne Bancroft, Donna Corcoran",6803,1952,0.0,Drama
The Desert Fox: The Story of Rommel,88,"Biography, Drama, War",6.9,Approved,Henry Hathaway,"James Mason, Cedric Hardwicke, Jessica Tandy, Luther Adler",6079,1951,0.0,Biography
Treasure Island,96,"Adventure, Family",6.9,PG,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",8111,1950,0.0,Adventure
Angel and the Badman,100,"Romance, Western",6.9,Passed,James Edward Grant,"John Wayne, Gail Russell, Harry Carey, Bruce Cabot",5821,1947,0.0,Romance
For Whom the Bell Tolls,170,"Adventure, Drama, History",6.9,Passed,Sam Wood,"Gary Cooper, Ingrid Bergman, Akim Tamiroff, Arturo de Córdova",9182,1943,17.8,Adventure
Go West,80,"Comedy, Musical, Western",6.9,Passed,Edward Buzzell,"Groucho Marx, Chico Marx, Harpo Marx, John Carroll",5445,1940,0.0,Comedy
At the Circus,87,"Comedy, Musical",6.9,Passed,Edward Buzzell,"Groucho Marx, Chico Marx, Harpo Marx, Kenny Baker",5986,1939,0.0,Comedy
Young and Innocent,83,"Crime, Mystery, Romance",6.9,Not Rated,Alfred Hitchcock,"Nova Pilbeam, Derrick De Marney, Percy Marmont, Edward Rigby",9454,1937,0.0,Crime
Nothing Sacred,77,"Comedy, Drama, Fantasy",6.9,Passed,William A. Wellman,"Carole Lombard, Fredric March, Charles Winninger, Walter Connolly",6518,1937,0.0,Comedy
The Raven,61,"Crime, Horror",6.9,Approved,Lew Landers,"Boris Karloff, Bela Lugosi, Lester Matthews, Irene Ware",5470,1935,0.0,Crime
Sylvie's Love,114,"Drama, Music, Romance",6.8,PG-13,Eugene Ashe,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King",5603,2020,0.0,Drama
The Wild Goose Lake,113,"Crime, Drama",6.8,Not Rated,Yi'nan Diao,"Ge Hu, Gwei Lun-Mei, Fan Liao, Regina Wan",6431,2019,0.0,Crime
Dogs Don't Wear Pants,105,"Drama, Romance",6.8,Not Rated,J.-P. Valkeapää,"Pekka Strang, Ester Geislerová, Ellen Karppo, Armands Reinis",5391,2019,0.0,Drama
Bob Biswas,131,"Crime, Drama, Thriller",6.8,Not Rated,Diya Annapurna Ghosh,"Abhishek Bachchan, Chitrangda Singh, Paran Banerjee, Kaushik Chakraborty",6247,2021,0.0,Crime
Panga,131,"Drama, Sport",6.8,Not Rated,Ashwiny Iyer Tiwari,"Kangana Ranaut, Jassie Gill, Richa Chadha, Neena Gupta",7111,2020,0.0,Drama
Chhalaang,136,"Comedy, Drama",6.8,TV-14,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub, Saurabh Shukla",18830,2020,0.0,Comedy
T-34,139,"Action, War",6.8,TV-14,Aleksey Sidorov,"Alexander Petrov, Irina Starshenbaum, Viktor Dobronravov, Vinzenz Kiefer",11839,2018,0.0,Action
Ema,107,"Drama, Music, Romance",6.8,R,Pablo Larraín,"Mariana Di Girólamo, Gael García Bernal, Santiago Cabrera, Paola Giannini",7972,2019,0.0,Drama
Matthias & Maxime,119,"Drama, Romance",6.8,Not Rated,Xavier Dolan,"Gabriel D'Almeida Freitas, Xavier Dolan, Pier-Luc Funk, Samuel Gauthier",7156,2019,0.0,Drama
Yesterday,116,"Comedy, Fantasy, Music",6.8,PG-13,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell",146048,2019,73.29,Comedy
Worth,118,"Biography, Drama, History",6.8,PG-13,Sara Colangelo,"Michael Keaton, Amy Ryan, Stanley Tucci, Tate Donovan",12464,2020,0.0,Biography
Stranger in My Pocket,95,"Comedy, Drama",6.8,Not Rated,Serra Yilmaz,"Belçim Bilgin, Bugra Gülsoy, Çaglar Çorumlu, Leyla Lydia Tugutlu",8112,2018,0.0,Comedy
First Signal,102,"Drama, History, Sci-Fi",6.8,Not Rated,Mark Lund,"Paul Noonan, Conor Timmis, Wendy Hartman, Patience McStravick",10262,2021,0.0,Drama
Naa Peru Surya Naa Illu India,163,"Action, Drama",6.8,Not Rated,Vakkantham Vamsi,"Allu Arjun, Sam Nagar, Anu Emmanuel, Arjun Sarja",6938,2018,0.0,Action
Brittany Runs a Marathon,104,"Comedy, Drama",6.8,R,Paul Downs Colaizzo,"Jillian Bell, Jennifer Dundas, Patch Darragh, Alice Lee",19262,2019,0.22,Comedy
Boss Level,100,"Mystery, Sci-Fi, Thriller",6.8,TV-MA,Joe Carnahan,"Frank Grillo, Mel Gibson, Naomi Watts, Michelle Yeoh",59935,2020,0.0,Mystery
Who You Think I Am,101,"Drama, Romance",6.8,Not Rated,Safy Nebbou,"Juliette Binoche, Nicole Garcia, François Civil, Marie-Ange Casta",5680,2019,0.0,Drama
Judy,118,"Biography, Drama, Romance",6.8,PG-13,Rupert Goold,"Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell",48601,2019,0.0,Biography
