Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross (M),Updated Genre
The Great Ziegfeld,176,"Drama, Musical",6.7,Passed,Robert Z. Leonard,"William Powell, Myrna Loy, Luise Rainer, Frank Morgan",7951,1936,0.0,Drama
Mutiny on the Bounty,132,"Adventure, Biography, Drama",7.7,Passed,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin",22403,1935,0.0,Adventure
It Happened One Night,105,"Comedy, Romance",8.1,Passed,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",101180,1934,4.36,Comedy
Cavalcade,112,"Drama, Romance, War",5.9,Passed,Frank Lloyd,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin",5109,1933,7.63,Drama
Grand Hotel,112,"Drama, Romance",7.4,Not Rated,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery",18869,1932,2.69,Drama
Cimarron,123,"Drama, Western",5.9,Passed,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",6026,1931,0.0,Drama
All Quiet on the Western Front,152,"Drama, War",8.1,Passed,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy",60318,1930,3.27,Drama
The Broadway Melody,100,"Drama, Musical, Romance",5.7,Passed,Harry Beaumont,"Bessie Love, Anita Page, Charles King, Eddie Kane",7061,1929,6.12,Drama
Wings,144,"Drama, Romance, War",7.5,PG-13,William A. Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston",12546,1927,6.59,Drama
Sunrise,94,"Drama, Romance",8.1,Passed,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",50307,1927,0.54,Drama
